Relation Data
ID,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5
5333,0.208,0.485,0.735,0.669,0.543
5334,0.063,0.457,0.844,0.617,0.165
5335,0.938,0.358,0.706,0.477,0.156
5336,0.186,0.101,0.284,0.786,0.938
5337,0.685,0.583,0.565,0.409,0.876
5338,0.762,0.904,0.724,0.523,0.557
5339,0.360,0.979,0.419,0.918,0.240
5340,0.900,0.507,0.024,0.136,0.868
5341,0.786,0.902,0.622,0.588,0.114
5342,0.044,0.714,0.785,0.859,0.955
5343,0.934,0.580,0.377,0.782,0.977
5344,0.621,0.813,0.056,0.057,0.609
5345,0.601,0.093,0.987,0.596,0.364
5346,0.804,0.900,0.323,0.587,0.473
5347,0.350,0.902,0.589,0.609,0.166
5348,0.350,0.810,0.071,0.090,0.847
5349,0.376,0.528,0.694,0.087,0.220
5350,0.743,0.495,0.773,0.801,0.324
5351,0.507,0.130,0.579,0.330,0.698
5352,0.277,0.983,0.585,0.919,0.470
5353,0.538,0.631,0.967,0.481,0.222
5354,0.981,0.313,0.859,0.845,0.781
5355,0.944,0.405,0.462,0.993,0.465
5356,0.985,0.389,0.978,0.322,0.676
5357,0.390,0.694,0.515,0.363,0.994
5358,0.774,0.705,0.119,0.715,0.419
5359,0.951,0.064,0.131,0.393,0.623
5360,0.992,0.428,0.399,0.227,0.703
5361,0.990,0.767,0.964,0.875,0.099
5362,0.697,0.870,0.305,0.577,0.265
5363,0.283,0.499,0.507,0.025,0.189
5364,0.969,0.762,0.308,0.756,0.017
5365,0.153,0.272,0.955,0.453,0.460
5366,0.331,0.739,0.505,0.461,0.835
5367,0.662,0.081,0.366,0.808,0.195
5368,0.698,0.717,0.067,0.234,0.628
5369,0.918,0.285,0.459,0.234,0.039
5370,0.445,0.284,0.058,0.421,0.626
5371,0.086,0.930,0.946,0.275,0.305
5372,0.280,0.499,0.950,0.779,0.858
5373,0.305,0.019,0.382,0.293,0.308
5374,0.939,0.614,0.235,0.722,0.583
5375,0.315,0.392,0.181,0.494,0.075
5376,0.400,0.680,0.138,0.241,0.303
5377,0.637,0.931,0.619,0.409,0.954
5378,0.314,0.142,0.415,0.917,0.194
5379,0.765,0.992,0.134,0.847,0.829
5380,0.478,0.492,0.766,0.952,0.913
5381,0.279,0.003,0.289,0.443,0.198
5382,0.259,0.641,0.003,0.018,0.377
5383,0.482,0.307,0.941,0.874,0.414
5384,0.360,0.650,0.887,0.982,0.129
5385,0.134,0.198,0.040,0.528,0.036
5386,0.043,0.043,0.603,0.308,0.033
5387,0.773,0.625,0.332,0.836,0.978
5388,0.834,0.553,0.237,0.337,0.740
5389,0.877,0.815,0.957,0.211,0.732
5390,0.749,0.368,0.069,0.774,0.196
5391,0.575,0.522,0.629,0.294,0.279
5392,0.605,0.971,0.071,0.829,0.704
5393,0.477,0.443,0.795,0.369,0.891
5394,0.067,0.335,0.881,0.514,0.001
5395,0.649,0.462,0.909,0.018,0.932
5396,0.568,0.524,0.932,0.169,0.470
5397,0.234,0.500,0.008,0.199,0.505
5398,0.270,0.754,0.964,0.992,0.294
5399,0.178,0.375,0.926,0.720,0.472
5400,0.145,0.555,0.127,0.171,0.461
5401,0.218,0.924,0.261,0.881,0.433
5402,0.249,0.040,0.447,0.440,0.577
5403,0.488,0.668,0.264,0.710,0.062
5404,0.198,0.293,0.867,0.845,0.275
5405,0.706,0.388,0.936,0.504,0.914
5406,0.932,0.811,0.104,0.291,0.120
5407,0.138,0.565,0.107,0.308,0.189
5408,0.525,0.528,0.509,0.568,0.804
5409,0.962,0.556,0.439,0.708,0.824
5410,0.241,0.821,0.164,0.016,0.540
5411,0.802,0.727,0.998,1.000,0.720
5412,0.267,0.395,0.054,0.453,0.941
5413,0.464,0.297,0.965,0.100,0.610
5414,0.762,0.173,0.948,0.371,0.821
5415,0.007,0.094,0.927,0.652,0.272
5416,0.596,0.253,0.110,0.524,0.778
5417,0.494,0.461,0.760,0.854,0.986
5418,0.660,0.091,0.365,0.648,0.787
5419,0.995,0.540,0.114,0.777,0.931
5420,0.941,0.080,0.834,0.308,0.189
5421,0.829,0.765,0.843,0.136,0.773
5422,0.001,0.325,0.568,0.173,0.281
5423,0.677,0.436,0.908,0.774,0.999
5424,0.626,0.246,0.946,0.970,0.513
5425,0.147,0.627,0.568,0.871,0.485
5426,0.521,0.604,0.233,0.977,0.891
5427,0.938,0.478,0.301,0.265,0.598
5428,0.225,0.038,0.787,0.226,0.614
5429,0.645,0.270,0.404,0.169,0.607
5430,0.099,0.461,0.773,0.274,0.888
5431,0.308,0.179,0.680,0.180,0.660
5432,0.133,0.803,0.558,0.819,0.941
5433,0.305,0.245,0.791,0.195,0.808
5434,0.625,0.132,0.500,0.105,0.180
5435,0.343,0.243,0.567,0.986,0.057
5436,0.827,0.169,0.290,0.508,0.378
5437,0.200,0.636,0.005,0.573,0.726
5438,0.729,0.192,0.154,0.303,0.457
5439,0.909,0.654,0.293,0.540,0.367
5440,0.079,0.334,0.818,0.178,0.555
5441,0.203,0.531,0.482,0.509,0.332
5442,0.838,0.072,0.501,0.708,0.434
5443,0.936,0.700,0.759,0.368,0.080
5444,0.890,0.072,0.054,0.843,0.031
5445,0.512,0.049,0.187,0.636,0.331
5446,0.374,0.575,0.683,0.414,0.017
5447,0.143,0.305,0.648,0.817,0.838
5448,0.280,0.729,0.076,0.075,0.202
5449,0.438,0.112,0.240,0.264,0.499
5450,0.448,0.085,0.795,0.690,0.497
5451,0.624,0.030,0.770,0.406,0.681
5452,0.127,0.156,0.185,0.623,0.087
5453,0.981,0.383,0.147,0.099,0.344
5454,0.325,0.196,0.756,0.097,0.395
5455,0.235,0.786,0.477,0.901,0.124
5456,0.191,0.257,0.845,0.783,0.162
5457,0.854,0.282,0.707,0.731,0.014
5458,0.057,0.108,0.893,0.286,0.378
5459,0.152,0.850,0.452,0.103,0.319
5460,0.085,0.532,0.605,0.381,0.242
5461,0.729,0.780,0.879,0.134,0.912
5462,0.129,0.264,0.783,0.866,0.787
5463,0.057,0.067,0.517,0.080,0.496
5464,0.418,0.806,0.468,0.113,0.034
5465,0.702,0.704,0.627,0.223,0.067
5466,0.676,0.342,0.827,0.782,0.653
5467,0.959,0.168,0.523,0.608,0.339
5468,0.574,0.105,0.879,0.322,0.353
5469,0.124,0.674,0.087,0.024,0.929
5470,0.826,0.954,0.734,0.608,0.763
5471,0.745,0.030,0.786,0.893,0.973
5472,0.603,0.488,0.447,0.246,0.161
5473,0.242,0.361,0.184,0.359,0.887
5474,0.993,0.065,0.564,0.253,0.246
5475,0.209,0.311,0.013,0.243,0.762
5476,0.476,0.513,0.788,0.179,0.567
5477,0.313,0.698,0.191,0.044,0.504
5478,0.533,0.463,0.246,0.630,0.392
5479,0.451,0.321,0.139,0.205,0.202
5480,0.555,0.894,0.389,0.977,0.611
5481,0.199,0.842,0.596,0.495,0.158
5482,0.973,0.357,0.534,0.984,0.885
5483,0.226,0.202,0.022,0.884,0.758
5484,0.474,0.842,0.196,0.858,0.218
5485,0.760,0.160,0.061,0.293,0.518
5486,0.186,0.499,0.185,0.682,0.433
5487,0.075,0.454,0.491,0.547,0.677
5488,0.756,0.548,0.750,0.444,0.964
5489,0.720,0.253,0.187,0.715,0.073
5490,0.262,0.103,0.757,0.486,0.822
5491,0.789,0.611,0.831,0.354,0.410
5492,0.433,0.249,0.028,0.602,0.383
5493,0.109,0.050,0.294,0.489,0.692
5494,0.519,0.183,0.787,0.503,0.778
5495,0.065,0.430,0.389,0.061,0.512
5496,0.617,0.321,0.825,0.715,0.416
5497,0.764,0.350,0.400,0.994,0.080
5498,0.067,0.853,0.335,0.264,0.615
5499,0.030,0.259,0.655,0.795,0.609
5500,0.446,0.936,0.445,0.643,0.213
5501,0.883,0.738,0.151,0.982,0.817
5502,0.581,0.588,0.749,0.662,0.594
5503,0.647,0.367,0.823,0.594,0.235
5504,0.127,0.861,0.672,0.814,0.939
5505,0.063,0.686,0.491,0.423,0.579
5506,0.459,0.395,0.313,0.744,0.049
5507,0.898,0.916,0.561,0.201,0.189
5508,0.792,0.110,0.506,0.558,0.430
5509,0.815,0.837,0.494,0.468,0.069
5510,0.374,0.373,0.912,0.742,0.855
5511,0.075,0.899,0.453,0.777,0.336
5512,0.753,0.318,0.910,0.030,0.515
5513,0.079,0.844,0.864,0.623,0.135
5514,0.291,0.145,0.148,0.030,0.513
5515,0.405,0.852,0.350,0.550,0.630
5516,0.319,0.849,0.897,0.818,0.610
5517,0.844,0.901,0.325,0.195,0.553
5518,0.414,0.257,0.415,0.143,0.198
5519,0.752,0.344,0.654,0.138,0.541
5520,0.739,0.895,0.590,0.628,0.691
5521,0.611,0.086,0.268,0.724,0.963
5522,0.173,0.687,0.318,0.387,0.387
5523,0.137,0.289,0.429,0.232,0.948
5524,0.001,0.035,0.553,0.238,0.135
5525,0.060,0.899,0.768,0.629,0.499
5526,0.290,0.284,0.427,0.038,0.305
5527,0.310,0.905,0.038,0.578,0.025
5528,0.169,0.010,0.568,0.285,0.961
5529,0.965,0.964,0.344,0.542,0.746
5530,0.193,0.074,0.795,0.623,0.275
5531,0.754,0.720,0.965,0.717,0.607
5532,0.668,0.762,0.212,0.304,0.945
5533,0.135,0.677,0.599,0.854,0.762
5534,0.533,0.113,0.869,0.281,0.242
5535,0.014,0.390,0.365,0.773,0.043
5536,0.435,0.117,0.086,0.867,0.725
5537,0.841,0.728,0.225,0.824,0.050
5538,0.330,0.729,0.402,0.773,0.130
5539,0.442,0.224,0.846,0.641,0.553
5540,0.173,0.878,0.249,0.606,0.459
5541,0.027,0.820,0.667,0.202,0.544
5542,0.366,0.813,0.725,0.281,0.458
5543,0.070,0.225,0.009,0.317,0.709
5544,0.976,0.449,0.491,0.381,0.843
5545,0.355,0.579,0.173,0.707,0.886
5546,0.740,0.052,0.310,0.744,0.602
5547,0.539,0.175,0.245,0.770,0.721
5548,0.494,0.577,0.332,0.843,0.310
5549,0.983,0.637,0.805,0.877,0.491
5550,0.150,0.860,0.843,0.148,0.374
5551,0.701,0.750,0.379,0.668,0.877
5552,0.425,0.241,0.283,0.214,0.009
5553,0.853,0.103,0.481,0.748,0.198
5554,0.373,0.067,0.170,0.837,0.172
5555,0.827,0.940,0.816,0.516,0.606
5556,0.524,0.191,0.727,0.124,0.756
5557,0.137,0.176,0.078,0.559,0.577
5558,0.579,0.342,0.338,0.632,0.760
5559,0.068,0.056,0.957,0.227,0.368
5560,0.551,0.201,0.951,0.991,0.488
5561,0.429,0.437,0.093,0.177,0.310
5562,0.594,0.724,0.638,0.300,0.885
5563,0.188,0.479,0.810,0.962,0.756
5564,0.553,0.601,0.323,0.535,0.912
5565,0.236,0.496,0.470,0.261,0.437
5566,0.973,0.566,0.993,0.643,0.339
5567,0.411,0.866,0.878,0.101,0.998
5568,0.599,0.277,0.257,0.664,0.932
5569,0.295,0.989,0.686,0.225,0.621
5570,0.768,0.693,0.295,0.332,0.745
5571,0.611,0.952,0.644,0.572,0.273
5572,0.706,0.925,0.681,0.210,0.163
5573,0.270,0.608,0.351,0.931,0.061
5574,0.195,0.560,0.263,0.396,0.315
5575,0.980,0.224,0.183,0.375,0.141
5576,0.936,0.990,0.942,0.664,0.303
5577,0.439,0.780,0.174,0.691,0.085
5578,0.978,0.744,0.226,0.180,0.104
5579,0.765,0.729,0.710,0.039,0.675
5580,0.822,0.393,0.682,0.350,0.407
5581,0.058,0.793,0.321,0.555,0.002
5582,0.041,0.173,0.794,0.448,0.754
5583,0.620,0.974,0.192,0.956,0.796
5584,0.114,0.886,0.028,0.237,0.153
5585,0.203,0.724,0.865,0.084,0.254
5586,0.347,0.072,0.741,0.261,0.595
5587,0.627,0.414,0.455,0.960,0.724
5588,0.544,0.563,0.592,0.943,0.997
5589,0.051,0.233,0.292,0.766,0.514
5590,0.152,0.773,0.551,0.189,0.020
5591,0.109,0.304,0.617,0.315,0.378
5592,0.735,0.881,0.153,0.283,0.755
5593,0.706,0.408,0.729,0.013,0.923
5594,0.619,0.159,0.015,0.453,0.429
5595,0.859,0.776,0.025,0.273,0.052
5596,0.619,0.301,0.597,0.139,0.500
5597,0.920,0.147,0.888,0.220,0.282
5598,0.767,0.734,0.957,0.540,0.710
5599,0.584,0.849,0.364,0.673,0.705
5600,0.747,0.530,0.645,0.318,0.850
5601,0.276,0.196,0.519,0.671,0.672
5602,0.981,0.015,0.636,0.972,0.133
5603,0.933,0.719,1.000,0.660,0.695
5604,0.656,0.173,0.149,0.503,0.682
5605,0.676,0.877,0.518,0.225,0.643
5606,0.893,0.208,0.669,0.918,0.767
5607,0.665,0.111,0.155,0.466,0.920
5608,0.045,0.525,0.271,0.396,0.009
5609,0.285,0.711,0.706,0.553,0.814
5610,0.275,0.910,0.319,0.496,0.027
5611,0.218,0.648,0.011,0.339,0.876
5612,0.858,0.164,0.660,0.631,0.311
5613,0.394,0.605,0.730,0.399,0.477
5614,0.690,0.899,0.859,0.749,0.718
5615,0.118,0.193,0.393,0.155,0.289
5616,0.518,0.927,0.840,0.094,0.860
5617,0.068,0.032,0.449,0.793,0.567
5618,0.084,0.927,0.292,0.440,0.028
5619,0.493,0.885,0.271,0.959,0.645
5620,0.471,0.889,0.385,0.841,0.689
5621,0.795,0.655,0.670,0.337,0.155
5622,0.158,0.800,0.137,0.047,0.241
5623,0.156,0.109,0.930,0.678,0.131
5624,0.902,0.949,0.125,0.903,0.698
5625,0.815,0.146,0.080,0.743,0.458
5626,0.343,0.949,0.105,0.548,0.578
5627,0.625,0.002,0.305,0.518,0.208
5628,0.957,0.695,0.545,0.913,0.020
5629,0.245,0.564,0.771,0.568,0.227
5630,0.429,0.136,0.500,0.873,0.474
5631,0.727,0.170,0.647,0.138,0.328
5632,0.087,0.301,0.771,0.623,0.210
5633,0.614,0.498,0.823,0.670,0.262
5634,0.451,0.916,0.865,0.213,0.771
5635,0.365,0.197,0.417,0.510,0.050
5636,0.148,0.323,0.014,0.103,0.000
5637,0.942,0.367,0.996,0.281,0.742
5638,0.231,0.968,0.922,0.677,0.792
5639,0.388,0.198,0.002,0.518,0.156
5640,0.745,0.396,0.150,0.613,0.345
5641,0.043,0.680,0.721,0.704,0.001
5642,0.051,0.462,0.160,0.180,1.000
5643,0.507,0.098,0.675,0.734,0.212
5644,0.884,0.039,0.137,0.905,0.270
5645,0.327,0.780,0.250,0.589,0.375
5646,0.350,0.188,0.477,0.838,0.963
5647,0.606,0.580,0.962,0.509,0.390
5648,0.412,0.943,0.344,0.997,0.552
5649,0.976,0.602,0.988,0.417,0.789
5650,0.929,0.263,0.160,0.545,0.681
5651,0.862,0.625,0.457,0.467,0.290
5652,0.881,0.392,0.482,0.279,0.586
5653,0.018,0.238,0.796,0.328,0.752
5654,0.144,0.881,0.114,0.915,0.893
5655,0.589,0.402,0.976,0.756,0.927
5656,0.404,0.721,0.695,0.157,0.927
5657,0.517,0.684,0.266,0.660,0.569
5658,0.729,0.712,0.664,0.208,0.877
5659,0.785,0.782,0.826,0.923,0.041
5660,0.850,0.008,0.620,0.321,0.854
5661,0.778,0.957,0.784,0.651,0.658
5662,0.436,0.268,0.474,0.410,0.396
5663,1.000,0.183,0.903,0.089,0.383
5664,0.187,0.561,0.624,0.135,0.983
5665,0.215,0.910,0.509,0.536,0.009
5666,0.413,0.755,0.086,0.197,0.884
5667,0.214,0.512,0.296,0.212,0.659
5668,0.101,0.082,0.217,0.596,0.408
5669,0.326,0.485,0.228,0.916,0.018
5670,0.343,0.711,0.363,0.058,0.677
5671,0.135,0.951,0.046,0.564,0.398
5672,0.100,0.829,0.652,0.768,0.083
5673,0.968,0.791,0.460,0.639,0.107
5674,0.667,0.992,0.645,0.513,0.099
5675,0.461,0.998,0.747,0.229,0.093
5676,0.150,0.485,0.027,0.613,0.152
5677,0.014,0.416,0.044,0.617,0.817
5678,0.868,0.498,0.777,0.961,0.476
5679,0.433,0.668,0.715,0.367,0.608
5680,0.537,0.937,0.815,0.676,0.764
5681,0.294,0.566,0.952,0.938,0.287
5682,0.686,0.386,0.249,0.417,0.735
5683,0.206,0.027,0.542,0.158,0.989
5684,0.077,0.628,0.595,0.150,0.442
5685,0.653,0.215,0.978,0.379,0.378
5686,0.307,0.377,0.591,0.063,0.057
5687,0.397,0.260,0.966,0.913,0.526
5688,0.976,0.675,0.923,0.428,0.468
5689,0.852,0.203,0.501,0.933,0.012
5690,0.046,0.190,0.838,0.304,0.200
5691,0.442,0.314,0.122,0.545,0.120
5692,0.640,0.514,0.734,0.416,0.858
5693,0.031,0.351,0.544,0.250,0.641
5694,0.806,0.078,0.306,0.783,0.493
5695,0.292,0.758,0.439,0.693,0.787
5696,0.495,0.389,0.336,0.499,0.436
5697,0.401,0.015,0.911,0.972,0.215
5698,0.579,0.916,0.189,0.597,0.205
5699,0.315,0.892,0.623,0.130,0.382
5700,0.404,0.627,0.102,0.271,0.213
5701,0.904,0.160,0.294,0.812,0.368
5702,0.619,0.271,0.470,0.824,0.929
5703,0.199,0.295,0.444,0.690,0.488
5704,0.632,0.305,0.221,0.867,0.752
5705,0.581,0.960,0.869,0.834,0.070
5706,0.464,0.472,0.431,0.293,0.916
5707,0.108,0.972,0.284,0.869,0.717
5708,0.370,0.561,0.426,0.965,0.462
5709,0.497,0.162,0.045,0.847,0.431
5710,0.886,0.703,0.663,0.450,0.764
5711,0.284,0.972,0.711,0.434,0.593
5712,0.741,0.522,0.466,0.338,0.824
5713,0.200,0.940,0.758,0.989,0.891
5714,0.970,0.794,0.773,0.101,0.724
5715,0.826,0.878,0.704,0.842,0.560
5716,0.892,0.574,0.215,0.135,0.358
5717,0.792,0.736,0.884,0.586,0.582
5718,0.007,0.479,0.169,0.757,0.957
5719,0.385,0.843,0.465,0.008,0.632
5720,0.198,0.456,0.697,0.943,0.760
5721,0.920,0.665,0.138,0.134,0.200
5722,0.532,0.576,0.213,0.304,0.439
5723,0.109,0.955,0.215,0.004,0.653
5724,0.849,0.446,0.009,0.016,0.009
5725,0.155,0.375,0.071,0.762,0.389
5726,0.915,0.708,0.709,0.740,0.884
5727,0.244,0.522,0.732,0.575,0.155
5728,0.113,0.791,0.087,0.030,0.441
5729,0.509,0.902,0.648,0.908,0.242
5730,0.116,0.950,0.214,0.776,0.980
5731,0.446,0.567,0.908,0.939,0.325
5732,0.348,0.326,0.484,0.106,0.702
5733,0.069,0.944,0.175,0.007,0.218
5734,0.829,0.988,0.878,0.171,0.439
5735,0.008,0.170,0.037,0.234,0.675
5736,0.407,0.195,0.904,0.864,0.258
5737,0.069,0.168,0.280,0.897,0.487
5738,0.057,0.214,0.611,0.804,0.882
5739,0.911,0.570,0.110,0.090,0.587
5740,0.464,0.460,0.988,0.741,0.624
5741,0.019,0.639,0.038,0.319,0.443
5742,0.284,0.458,0.150,0.595,0.332
5743,0.820,0.858,0.913,0.287,0.063
5744,0.388,0.359,0.989,0.862,0.786
5745,0.901,0.190,0.254,0.318,0.901
5746,0.811,0.942,0.252,0.629,0.174
5747,0.898,0.887,0.333,0.134,0.637
5748,0.749,0.983,0.316,0.318,0.361
5749,0.815,0.592,0.436,0.616,0.294
5750,0.525,0.379,0.591,0.954,0.757
5751,0.624,0.573,0.864,0.217,0.629
5752,0.207,0.126,0.592,0.792,0.890
5753,0.912,0.699,0.964,0.006,0.024
5754,0.310,0.097,0.124,0.862,0.454
5755,0.572,0.060,0.983,0.458,0.629
5756,0.541,0.150,0.793,0.124,0.306
5757,0.876,0.306,0.497,0.630,0.982
5758,0.572,0.476,0.648,0.646,0.891
5759,0.509,0.356,0.705,0.951,0.350
5760,0.827,0.759,0.277,0.541,0.030
5761,0.733,0.370,0.735,0.588,0.137
5762,0.878,0.972,0.970,0.191,0.232
5763,0.009,0.917,0.374,0.918,0.796
5764,0.311,0.709,0.977,0.002,0.353
5765,0.278,0.362,0.268,0.640,0.043
5766,0.517,0.511,0.662,0.047,0.902
5767,0.204,0.334,0.443,0.228,0.975
5768,0.373,0.628,0.829,0.300,0.748
5769,0.948,0.972,0.329,0.967,0.055
5770,0.870,0.068,0.650,0.033,0.837
5771,0.257,0.724,0.819,0.328,0.277
5772,0.549,0.285,0.566,0.335,0.499
5773,0.585,0.099,0.988,0.801,0.030
5774,0.877,0.806,0.953,0.774,0.410
5775,0.566,0.654,0.091,0.131,0.975
5776,1.000,0.850,0.345,0.265,0.609
5777,0.102,0.056,0.458,0.500,0.331
5778,0.502,0.262,0.754,0.048,0.480
5779,0.778,0.457,0.843,0.362,0.250
5780,0.959,0.967,0.293,0.042,0.245
5781,0.759,0.195,0.950,0.078,0.983
5782,0.073,0.693,0.638,0.233,0.596
5783,0.159,0.560,0.093,0.103,0.567
5784,0.657,0.664,0.968,0.193,0.095
5785,0.395,0.732,0.756,0.495,0.911
5786,0.554,0.844,0.210,0.667,0.272
5787,0.999,0.066,0.793,0.830,0.210
5788,0.948,0.493,0.911,0.600,0.919
5789,0.681,0.353,0.014,0.029,0.337
5790,0.336,0.114,0.547,0.235,0.395
5791,0.272,0.131,0.264,0.015,0.280
5792,0.372,0.586,0.940,0.423,0.199
5793,0.221,0.369,0.940,0.906,0.509
5794,0.879,0.295,0.905,0.053,0.266
5795,0.946,0.873,0.393,0.489,0.504
5796,0.680,0.687,0.560,0.273,0.299
5797,0.057,0.520,0.157,0.943,0.160
5798,0.626,0.841,0.852,0.712,0.477
5799,0.974,0.423,0.401,0.097,0.781
5800,0.943,0.621,0.929,0.197,0.731
5801,0.968,0.266,0.128,0.362,0.260
5802,0.928,0.881,0.562,0.145,0.852
5803,0.187,0.461,0.021,0.864,0.449
5804,0.185,0.080,0.090,0.055,0.164
5805,0.775,0.345,0.619,0.102,0.905
5806,0.363,0.036,0.319,0.825,0.931
5807,0.059,0.027,0.979,0.806,0.948
5808,0.160,0.071,0.805,0.395,0.590
5809,0.729,0.623,0.543,0.897,0.417
5810,0.710,0.424,0.386,0.708,0.047
5811,0.542,0.709,0.739,0.739,0.654
5812,0.284,0.853,0.163,0.021,0.657
5813,0.953,0.806,0.531,0.139,0.069
5814,0.049,0.132,0.286,0.989,0.881
5815,0.962,0.291,0.599,0.940,0.397
5816,0.933,0.718,0.326,0.008,0.500
5817,0.841,0.373,0.071,0.019,0.141
5818,0.901,0.845,0.217,0.538,0.525
5819,0.302,0.833,0.376,0.286,0.376
5820,0.332,0.520,0.184,0.087,0.585
5821,0.259,0.202,0.085,0.788,0.428
5822,0.090,0.251,0.751,0.607,0.438
5823,0.015,0.712,0.077,0.570,0.943
5824,0.965,0.429,0.406,0.973,0.963
5825,0.418,0.699,0.397,0.997,0.656
5826,0.022,0.329,0.222,0.232,0.429
5827,0.919,0.567,0.180,0.007,0.020
5828,0.042,0.022,0.399,0.375,0.035
5829,0.254,0.952,0.626,0.486,0.752
5830,0.387,0.633,0.212,0.554,0.702
5831,0.625,0.255,0.366,0.604,0.723
5832,0.841,0.454,0.921,0.200,0.446
5833,0.271,0.286,0.691,0.483,0.316
5834,0.897,0.198,0.342,0.197,0.298
5835,0.385,0.867,0.845,0.932,0.121
5836,0.868,0.120,0.705,0.671,0.933
5837,0.810,0.892,0.242,0.620,0.169
5838,0.515,0.801,0.123,0.677,0.757
5839,0.233,0.596,0.688,0.048,0.938
5840,0.663,0.963,0.239,0.892,0.042
5841,0.894,0.643,0.068,0.872,0.362
5842,0.820,0.858,0.038,0.791,0.666
5843,0.788,0.759,0.927,0.773,0.409
5844,0.738,0.268,0.009,0.701,0.435
5845,0.886,0.009,0.710,0.392,0.572
5846,0.549,0.430,0.096,0.869,0.828
5847,0.135,0.552,0.558,0.279,0.455
5848,0.614,0.607,0.909,0.509,0.111
5849,0.412,0.051,0.296,0.996,0.408
5850,0.118,0.400,0.059,0.765,0.154
5851,0.747,0.225,0.948,0.966,0.810
5852,0.107,0.365,0.176,0.183,0.265
5853,0.192,0.802,0.891,0.577,0.755
5854,0.861,0.148,0.243,0.486,0.071
5855,0.536,0.190,0.607,0.913,0.731
5856,0.076,0.123,0.219,0.974,0.664
5857,0.660,0.956,0.464,0.066,0.938
5858,0.075,0.715,0.248,0.416,0.117
5859,0.726,0.229,0.724,0.801,0.475
5860,0.604,0.046,0.918,0.895,0.386
5861,0.534,0.726,0.929,0.666,0.157
5862,0.452,0.740,0.268,0.151,0.665
5863,0.418,0.382,0.356,0.048,0.778
5864,0.177,0.294,0.537,0.965,0.480
5865,0.796,0.870,0.605,0.957,0.351
5866,0.376,0.218,0.645,0.112,0.172
5867,0.414,0.296,0.692,0.069,0.179
5868,0.771,0.434,0.153,0.214,0.634
5869,0.865,0.386,0.837,0.155,0.402
5870,0.634,0.470,0.195,0.220,0.156
5871,0.064,0.802,0.354,0.997,0.156
5872,0.909,0.771,0.654,0.389,0.224
5873,0.120,0.105,0.471,0.248,0.339
5874,0.541,0.519,0.381,0.092,0.156
5875,0.683,0.241,0.278,0.934,0.707
5876,0.648,0.491,0.679,0.870,0.193
5877,0.337,0.443,0.339,0.976,0.027
5878,0.127,0.511,0.870,0.460,0.246
5879,0.364,0.616,0.350,0.777,0.201
5880,0.182,0.568,0.553,0.398,0.063
5881,0.992,0.893,0.948,0.616,0.634
5882,0.019,0.657,0.118,0.707,0.354
5883,0.813,0.952,0.593,0.955,0.046
5884,0.205,0.400,0.214,0.862,0.035
5885,0.888,0.410,0.041,0.337,0.065
5886,0.895,0.688,0.601,0.714,0.464
5887,0.215,0.383,0.395,0.966,0.972
5888,0.452,0.245,0.299,0.524,0.527
5889,0.022,0.727,0.837,0.483,0.405
5890,0.903,0.724,0.055,0.518,0.040
5891,0.976,0.339,0.983,0.461,0.517
5892,0.884,0.632,0.124,0.786,0.715
5893,0.134,0.796,0.301,0.455,0.394
5894,0.277,0.013,0.572,0.585,0.413
5895,0.641,0.902,0.043,0.709,0.633
5896,0.794,0.076,0.994,0.804,0.635
5897,0.940,0.970,0.954,0.042,0.849
5898,0.433,0.996,0.722,0.898,0.663
5899,0.197,0.835,0.233,0.718,0.151
5900,0.739,0.594,0.405,0.020,0.132
5901,0.629,0.266,0.380,0.958,0.010
5902,0.237,0.743,0.913,0.436,0.535
5903,0.462,0.023,0.055,0.957,0.246
5904,0.559,0.731,0.990,0.969,0.526
5905,0.807,0.056,0.794,0.024,0.746
5906,0.760,0.902,0.101,0.054,0.240
5907,0.263,0.079,0.445,0.571,0.952
5908,0.951,0.043,0.729,0.516,0.158
5909,0.752,0.777,0.733,0.944,0.636
5910,0.798,0.916,0.550,0.230,0.586
5911,0.625,0.668,0.278,0.261,0.199
5912,0.985,0.262,0.793,0.070,0.106
5913,0.466,0.861,0.222,0.863,0.035
5914,0.627,0.443,0.804,0.636,0.765
5915,0.303,0.656,0.883,0.516,0.856
5916,0.695,0.653,0.637,0.148,0.242
5917,0.771,0.877,0.524,0.958,0.320
5918,0.971,0.604,0.213,0.005,0.252
5919,0.527,0.576,0.592,0.667,0.729
5920,0.392,0.425,0.363,0.115,0.462
5921,0.409,0.039,0.908,0.116,0.675
5922,0.940,0.893,0.322,0.331,0.721
5923,0.015,0.024,0.317,0.384,0.513
5924,0.632,0.411,0.174,0.852,0.386
5925,0.862,0.604,0.731,0.389,0.950
5926,0.754,0.352,0.239,0.005,0.617
5927,0.945,0.511,0.100,0.541,0.290
5928,0.850,0.624,0.731,0.574,0.047
5929,0.462,0.404,0.490,0.272,0.334
5930,0.399,0.899,0.592,0.113,0.978
5931,0.756,0.014,0.661,0.080,0.215
5932,0.532,0.743,0.548,0.032,0.103
5933,0.123,0.679,0.422,0.041,0.818
5934,0.011,0.513,0.039,0.773,0.411
5935,0.413,0.948,0.961,0.403,0.706
5936,0.433,0.009,0.154,0.865,0.894
5937,0.953,0.674,0.679,0.333,0.699
5938,0.643,0.310,0.401,0.049,0.684
5939,0.975,0.516,0.921,0.072,0.590
